Attribute           	Outliers            
7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5,5      	[chlorides_Outlier] 
8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,4        	[volatile acidity_Outlier]
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6      	[citric acid_Outlier]
7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6      	[]                  
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5        	[chlorides_Outlier] 
6.1,0.68,0.52,1.4,0.037,32,123,0.99022,3.24,0.45,12,6       	[volatile acidity_Outlier]
7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,5       	[chlorides_Outlier] 
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6         	[chlorides_Outlier] 
6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,5      	[chlorides_Outlier] 
9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4      	[volatile acidity_Outlier]
8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6     	[]                  
8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4,4       	[volatile acidity_Outlier]
5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5      	[volatile acidity_Outlier]
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5        	[citric acid_Outlier]
6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6           	[volatile acidity_Outlier]
7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6    	[chlorides_Outlier] 
7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,6         	[citric acid_Outlier]
6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,6        	[chlorides_Outlier] 
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5          	[chlorides_Outlier] 
5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5        	[volatile acidity_Outlier]
6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6        	[chlorides_Outlier] 
5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8,5      	[chlorides_Outlier] 
7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5         	[volatile acidity_Outlier]
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5      	[chlorides_Outlier] 
7.2,0.23,0.82,1.3,0.149,70,109,0.99304,2.93,0.42,9.2,6      	[citric acid_Outlier]
7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,5        	[citric acid_Outlier]
6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15,7    	[]                  
9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,6            	[volatile acidity_Outlier]
7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,6      	[citric acid_Outlier]
6.3,0.37,0.51,6.3,0.048,35,146,0.9943,3.1,1.01,10.5,6       	[]                  
6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,5         	[chlorides_Outlier] 
6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5         	[chlorides_Outlier] 
6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,5       	[chlorides_Outlier] 
6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,4   	[free sulfur dioxide_Outlier]
6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,5       	[chlorides_Outlier] 
7.2,0.34,0.28,10.4,0.108,43,187,0.99738,2.96,0.57,9.4,5     	[chlorides_Outlier] 
7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,4      	[chlorides_Outlier] 
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5      	[chlorides_Outlier] 
6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,6       	[citric acid_Outlier, chlorides_Outlier]
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5      	[chlorides_Outlier] 
6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2,5     	[citric acid_Outlier]
8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,5           	[volatile acidity_Outlier]
7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,6     	[volatile acidity_Outlier]
6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4        	[volatile acidity_Outlier]
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6          	[volatile acidity_Outlier]
6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,6       	[citric acid_Outlier]
